date,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E.1,Type 2 Departments - Single Specialty.1,Type 3 Departments - Other A&E/Minor Injury Unit.1,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3)
2012-02-01,1036193.2857142859,51048.7142857143,531562.5714285714,1618804.5714285714,84229.71428571426,106.85714285714289,1090.5714285714282,85427.14285714283,0.9498735165288557,0.9248232905913979,0.9979111338242728,0.9979525673635912
2012-03-01,1197372.0000000007,58318.85714285714,610515.0,1866205.8571428568,65710.2857142857,255.42857142857144,981.2857142857139,66946.99999999999,0.9653690085847916,0.9479762431494114,0.9956392371103848,0.9983952711779116
2012-04-01,1086165.2857142854,51510.85714285715,567286.1428571427,1704962.2857142854,63468.42857142858,178.42857142857142,914.1428571428572,64561.00000000002,0.9635150322568717,0.944792478001689,0.9965480549989636,0.9983911608632972
2012-05-01,1191009.142857143,56278.85714285715,620761.7142857146,1868049.7142857139,60405.14285714286,137.85714285714278,977.7142857142861,61520.71428571427,0.9681168858235139,0.9517304992066119,0.9975564485702059,0.9984274533015209
2012-06-01,1161692.714285714,53766.14285714287,610943.142857143,1826402.0,60391.571428571435,190.85714285714292,856.8571428571431,61439.28571428572,0.9674552695826655,0.9505831372397742,0.9964627917998194,0.9985994489328912
2012-07-01,1193640.0000000002,55174.99999999998,619274.7142857142,1868089.7142857155,55313.2857142857,216.857142857143,903.4285714285719,56433.571428571435,0.9706765972397023,0.955712286162367,0.9960850357066408,0.9985432756993555
2012-08-01,1143645.0000000002,52793.14285714286,594097.1428571426,1790535.2857142854,53738.85714285711,111.71428571428571,756.4285714285717,54606.99999999998,0.9704049923830884,0.9551197748138293,0.9978883926401573,0.998728378532532
2012-09-01,1120086.5714285711,51401.714285714304,557892.4285714282,1729380.7142857139,58274.142857142855,124.4285714285714,711.5714285714287,59110.14285714287,0.9669497092361029,0.9505464310285778,0.9975851370871375,0.9987261612366338
2012-10-01,1146458.5714285714,53229.428571428565,563747.8571428569,1763435.8571428577,67974.85714285714,193.57142857142867,699.9999999999997,68868.42857142854,0.9624143057960586,0.9440275147705561,0.9963766275092857,0.9987598500177797
2012-11-01,1098823.8571428573,51587.28571428569,535179.7142857143,1685590.8571428573,69084.14285714287,217.42857142857136,712.7142857142853,70014.28571428572,0.9601195713061415,0.940847958180659,0.9958029192048159,0.998670042255282
2012-12-01,1106158.4285714289,47415.428571428565,571665.142857143,1725238.9999999998,95921.85714285719,138.0,1126.7142857142853,97186.57142857139,0.9466718570282197,0.9202034520632209,0.9970980010454407,0.9980329429064609
2013-01-01,1056300.428571429,49386.14285714286,532870.4285714288,1638556.9999999998,93536.71428571428,132.2857142857143,892.4285714285709,94561.42857142857,0.945438564951748,0.918652206647898,0.997328555891169,0.9983280429511233
2013-02-01,992425.9999999995,48708.42857142856,513501.71428571426,1554636.1428571425,92906.71428571435,262.0000000000001,943.5714285714289,94112.28571428572,0.9429189535023059,0.9143979416976676,0.994649832406146,0.9981658468747336
